hash,params,total_ops,ops_on_tpu,ops_on_cpu,onchip_used_bytes,offchip_streamed_bytes,mapped,nonmapped_ops,status
01255ccfd5c249c23e59b1125d370908,2615080,86,86,0,3271557,0,TRUE,,mapped
012deff52786819c4b8ca442cc075ac9,4896138,95,95,0,4980736,0,TRUE,,mapped
013a977ba88a7972bed8f40b51051eb9,5775242,104,104,0,5872025,0,TRUE,,mapped
014722f96dcbf25ec351a10bc88871bc,2593855,89,89,0,3271557,0,TRUE,,mapped
016a8156059966556e79d93d1c1ace0a,2800487,95,95,0,3491758,0,TRUE,,mapped
016dcad6f7847b83fa79dc0231d5a6d5,3410512,92,92,0,4246732,0,TRUE,,mapped
01b1828b5dca8f8444035094ec798c70,11231626,41,41,0,7864320,3428843,TRUE,,mapped
01b6443af4ae121be7e33e9abd7f1daa,12989834,95,95,0,7853834,5221908,TRUE,,mapped
01e08d5b229c39f1b9d53ed89690c0fe,31754634,95,95,0,7906263,23959961,TRUE,,mapped
0201c8e043beffa4a4f4ddcb55fc0876,5104266,68,68,0,5148508,0,TRUE,,mapped
0213ed65ad672eea518d0a12474f2c95,6686346,113,113,0,6752829,0,TRUE,,mapped
0231bc51007e5e3ad54127eef319e4c0,3697575,95,95,0,4613734,0,TRUE,,mapped
02c17e732f082022a8bba0a62c6519a0,13153674,95,95,0,7864320,5368709,TRUE,,mapped
031c1f0c8c25ed2705bfb80539a6b602,3479434,95,95,0,3533701,0,TRUE,,mapped
03285238b082a745991a143294b28878,1870892,95,95,0,2359296,0,TRUE,,mapped
035fafd24973204e35ccb92ad464a20c,5104266,50,50,0,5148508,0,TRUE,,mapped
0392e8a0e2939ec313ca5c4ca0492312,1978762,68,68,0,2118123,0,TRUE,,mapped
03b9809587069dbdac357e57b8ff0976,3742858,95,95,0,3795845,0,TRUE,,mapped
03c0143660099a77958ebe78355f2044,3365952,104,104,0,5064622,0,TRUE,,mapped
03d84046b0ce567b2b59e85903aa2f5f,6422922,68,68,0,6480199,0,TRUE,,mapped
0404382a6b008f0313713a0adf913655,31590794,104,104,0,7969177,23718789,TRUE,,mapped
040f0b5b968c899f85671d96eeb43c10,11231626,50,50,0,7790919,3502243,TRUE,,mapped
043721b9c7fe8c5fad811d47d83132ec,888202,14,14,0,928768,0,TRUE,,mapped
04a50cabdbd9327c5a9cd2426e95fc9f,1591178,68,68,0,1646264,0,TRUE,,mapped
05437333d52f605fd717faa8bf950542,20532106,59,59,0,7969177,12635340,TRUE,,mapped
056315d7cf3e923b7c183ed40921722d,8135050,95,95,0,8032092,166400,TRUE,,mapped
05932f264e5efffbbc8ec56d786d930f,20532106,77,77,0,7853834,12750684,TRUE,,mapped
05da7d72a9bd37624c59ecc2a3dfc38f,13317514,68,68,0,7906263,5494538,TRUE,,mapped
0613b92e3d1d46b3d29fcf00d44072c6,12274570,86,86,0,7895777,4445962,TRUE,,mapped
0648c8fbdf36f125c1f0580e5a713f5a,7695498,86,86,0,7748976,0,TRUE,,mapped
0654ed6d7181262f3d079ce95db83fb7,4709258,86,86,0,4781506,0,TRUE,,mapped
06648f11e4c7ba76457d113f0d3501e1,13153674,86,86,0,7864320,5368709,TRUE,,mapped
076175c02ee6af358f26fc51a966a1bd,712074,86,86,0,752640,0,TRUE,,mapped
0789c1b90c28464af3c753f95b28613d,538894,92,92,0,707840,0,TRUE,,mapped
083ee66bbaafd65732757ced69e68dc5,4182410,104,104,0,4246732,0,TRUE,,mapped
08677281806ea9c8ea2451ce3093e9c3,888202,50,50,0,928768,0,TRUE,,mapped
08f1aa9d78d7a077b3691e61b60cc315,7861130,104,104,0,7979663,0,TRUE,,mapped
0934382716064e95d27691330b30253c,5104266,86,86,0,5148508,0,TRUE,,mapped
093c374abde96ff2195a516ed51d8930,1978762,68,68,0,2118123,0,TRUE,,mapped
0970f440a3f00ae09ecdb6f5d27540e3,7871626,95,95,0,7906263,23040,TRUE,,mapped
09cc2e6a3bb766ba617fa99236c5ff4f,21411210,77,77,0,7790919,13704888,TRUE,,mapped
09fc2d10bdd6225e167a6f81a22a3f06,2810250,41,41,0,2873098,0,TRUE,,mapped
0a3bcce1bdb5ad9e9809e6dae4ef451d,3479434,77,77,0,3533701,0,TRUE,,mapped
0a717117beece9157e67f6eb75517763,2205322,95,95,0,2275409,0,TRUE,,mapped
0a8388379b342a251a517c221111ac11,7871626,95,95,0,7906263,23040,TRUE,,mapped
0aa38cacf8f33fe81fe44d932636e9f2,8398474,95,95,0,8032092,434688,TRUE,,mapped
0ace73d4e8bea738c3d1acdf72de0c3a,31426954,113,113,0,7864320,23666360,TRUE,,mapped
